o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
36,44,35.6,550,10.0,50,0,20,3583.0604775946626,3666.957200694267,201.90460714639613,0,1.0871566966866,1.076763130642641,1.0806212125655335,1.113723440153903,1.4189181511192612,3.0,4.0,3.0,12.0,3.0,359,1093,2591,1701,1686,1372.079644079735,7.0,36.0
48,33,35.6,550,10.0,50,0,20,3419.9994891929614,3576.4350897704953,201.88786210900653,0,1.0834833679747025,1.0808511462236452,1.0827784926139654,1.1212629169728872,1.432881143541632,3.0,4.0,3.0,12.0,3.0,347,1050,2613,1702,1538,1372.1991886234275,7,35.0
44,36,35.6,550,10.0,50,0,20,3515.0687778258557,3617.0110671570665,201.89985181932488,0,1.0815424921603225,1.0805200483977184,1.0820966552358016,1.1179267943240752,1.425149878907189,3.0,4.0,3.0,12.0,3.0,342,1059,2563,1690,1625,1360.5765432181456,7,36.0
33,48,35.6,550,10.0,20,0,20,3645.782797742915,3755.3152690160287,201.94219345327093,0,1.0871205207705559,1.0760608408958328,1.0807635277840506,1.114090310683738,1.4286942696395288,3.0,4.0,3.0,12.0,3.0,378,1085,2694,1744,1783,1361.6780118800177,8.0,37.0
33,48,35.6,550,10.0,40,0,20,3622.1394819737493,3732.212482356534,201.96543165031096,0,1.0876454801520732,1.0760608408958328,1.0810276862387853,1.1150067038932336,1.436713848383165,3.0,4.0,3.0,12.0,3.0,359,1041,2755,1688,1745,1389.040874827137,8,37.0
36,44,35.6,550,10.0,0,0,20,3680.5412790839637,3779.937468358894,202.00372784420114,0,1.0838851324393537,1.078500715112141,1.081685196890432,1.1147418770325654,1.421788379820947,3.0,4.0,3.0,12.0,3.0,357,1090,2758,1675,1867,1369.1464895428915,8,37.0
66,24,35.6,550,10.0,50,0,20,3701.838370544631,3795.8153495595484,201.89636937270464,0,1.0784680860354807,1.0805752038812424,1.0835977499523708,1.1337379917378803,1.4219854054839398,3.0,4.0,3.0,9.0,3.0,337,1057,2487,2108,1632,1550.3944149306083,8,37.0
66,24,35.6,550,10.0,40,0,20,3596.577930688154,3702.1570080673464,202.02577255693978,0,1.0770834962901794,1.0811258373963168,1.08345358813885,1.1337981194233868,1.433475104634218,3.0,4.0,3.0,9.0,3.0,347,1038,2481,1997,1525,1485.0930539076573,7.0,36.0
44,36,35.6,550,10.0,0,0,20,3670.4958716466645,3794.880711198491,201.9093696267907,0,1.0930086275040083,1.0769540021108466,1.0814277839962074,1.114856716997061,1.425315416203464,3.0,4.0,3.0,12.0,3.0,365,1121,2691,1708,1773,1388.4539189864424,8,37.0
66,24,35.6,550,10.0,30,0,20,3470.301115098417,3577.4939414003416,201.93620372129158,0,1.0801852639915008,1.082436289107912,1.0835738514059319,1.1250059840866604,1.4398158895520785,3.0,4.0,3.0,11.0,3.0,338,1050,2459,1799,1469,1411.2099377871425,7.0,35.0
72,22,35.6,550,10.0,50,0,20,3829.830129245559,3939.1091471752457,201.9043066279502,0,1.0779718957580735,1.0816098673413996,1.0812014392852412,1.1330409321373558,1.4148904857450741,3.0,4.0,3.0,9.0,3.0,344,1062,2568,2243,1714,1577.4818765991656,8.0,38.0
44,36,35.6,550,10.0,40,0,20,3536.7045696484047,3641.566863221717,201.79737581238152,0,1.0817329015504922,1.0796576860724512,1.0815279084134335,1.1156589542662825,1.4213974830096294,3.0,4.0,3.0,12.0,3.0,359,1073,2617,1661,1649,1361.1386198823907,7.0,36.0
44,36,35.6,550,10.0,20,0,20,3660.016140405602,3761.886233597657,201.87202184605982,0,1.090606192561447,1.0765506662209308,1.0818083654821182,1.1150794673987585,1.4183886945670632,3.0,4.0,3.0,12.0,3.0,386,1049,2654,1721,1773,1376.4292165578383,7,37.0
44,36,35.6,550,10.0,30,0,20,3604.6299938216143,3713.8671451449495,201.81410670366296,0,1.0867679034747193,1.077761756567495,1.08199637761791,1.1148215317446255,1.4183918292297708,3.0,4.0,3.0,12.0,3.0,361,1064,2645,1705,1696,1383.4332868261981,7,37.0
