o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
24,66,40.6,550,20.0,40,0,20,3649.0770950458796,3724.9937750044446,142.52520040829714,2,1.8284569823359156,1.1323117812182364,1.1487541210814687,1.1316225090694594,1.4114491903620188,9.0,7.0,7.0,17.0,3.0,71,419,740,827,1167,1383.3843957190093,16,36
24,66,40.6,550,20.0,50,0,20,3645.8992336830515,3720.7445287978903,142.35286559440252,2,1.829387408411573,1.1337512123553066,1.1495941798835725,1.132271311686553,1.4116829558391368,9.0,7.0,7.0,17.0,3.0,87,405,718,831,1164,1388.9090760493477,16.0,36
33,48,40.6,550,20.0,20,0,20,3693.9666422590612,3730.4653201242695,142.922061284108,2,1.6987199727041333,1.13045456457388,1.1507444210074786,1.1332667099155964,1.435368343663953,8.0,6.0,6.0,16.0,3.0,76,356,618,595,1602,1340.031640106879,16,37
33,48,40.6,550,20.0,10,0,20,3712.9988524905507,3748.3715882789793,142.8461593818626,2,1.6968767745658027,1.1314605782189424,1.1507107054504389,1.1322571773854306,1.4397524328387212,8.0,6.0,6.0,16.0,3.0,77,349,618,623,1585,1369.1134174559206,16,37
33,48,40.6,550,20.0,0,0,20,3705.0862600375117,3761.2403078452835,142.77269056143936,2,1.707917398003472,1.1300620636696865,1.1521678802589652,1.131765899567768,1.4314562927262247,8.0,6.0,6.0,16.0,3.0,75,399,731,840,1195,1365.0508696902523,16,36
33,48,40.6,550,20.0,30,0,20,3699.326050129638,3739.1139611057006,142.71476141366256,2,1.6730623564418519,1.1322096461916813,1.1516867162195008,1.1340873082977652,1.4305944279868907,8.0,6.0,6.0,16.0,3.0,79,388,727,868,1209,1376.719875761452,16.0,37
33,48,40.6,550,20.0,40,0,20,3694.5407731955097,3731.5902002012176,142.70451897297087,2,1.6219047539835785,1.1328574512978018,1.1518136047378382,1.1342460790488718,1.4266888127720718,8.0,6.0,6.0,15.0,3.0,66,387,688,900,1224,1387.685026697983,16,36
33,48,40.6,550,20.0,50,0,20,3682.147206808014,3717.0550735132833,142.5447246413832,2,1.6000113610734692,1.1354976577552947,1.1502986257248509,1.136297462043535,1.4274172225572288,8.0,6.5,6.0,15.0,3.0,58,367,608,650,1558,1413.228860176537,16,36
36,44,40.6,550,20.0,20,0,20,3680.607325596957,3729.066909238043,142.4539091164934,2,1.7289952942505853,1.1365722504640732,1.156687427782528,1.1337073943761924,1.4306919901797566,8.0,7.0,6.0,16.0,3.0,60,409,725,861,1209,1372.3746399855395,16.0,37
36,44,40.6,550,20.0,0,0,20,3658.2530148650803,3740.2651656275216,142.71819808930292,2,1.749402937675287,1.13783027162658,1.1569410431101779,1.1338453498115837,1.4179653103007903,8.0,7.0,6.0,16.0,3.0,64,388,706,915,1199,1386.095650280246,16,37
36,44,40.6,550,20.0,10,0,20,3650.9035399232084,3718.4027502344547,142.48668676606002,2,1.7457938609608987,1.1371354137926188,1.1571929493131983,1.1338407024989268,1.4232137270437935,8.0,7.0,6.0,16.0,3.0,47,354,615,640,1595,1373.874267827883,16.0,37
36,44,40.6,550,20.0,50,0,20,3663.056718363252,3738.8347527362193,142.8071058870946,2,1.5759836613271365,1.1380059420270794,1.1520429930362641,1.1398064536115837,1.4277262595540314,8.0,7.0,6.0,15.0,3.0,59,432,711,861,1204,1397.1305611852827,16,36
36,44,40.6,550,20.0,30,0,20,3697.874214880111,3760.3173314663786,142.71829237861556,2,1.6492288958650074,1.1367909765575646,1.156359794595327,1.1348728071199012,1.4326823485292899,8.0,7.0,6.0,15.0,3.0,61,337,633,670,1539,1396.9088222474854,16.0,36
36,44,40.6,550,20.0,40,0,20,3687.1845892978517,3762.656606501762,142.7101111918463,2,1.6031173577530633,1.138991943356107,1.1542733736376651,1.1368744801180797,1.4276584215224108,8.0,7.0,6.0,15.0,3.0,58,405,714,891,1201,1394.4509760057283,16.0,36
72,22,40.6,550,20.0,50,0,20,3829.8004117046607,3856.1163303951666,142.20395789366012,2,1.9417935321673154,1.1746137409109383,1.171670527214895,1.2240795241553581,1.4198885014257097,7.5,6.0,5.0,12.0,3.0,61,461,672,1180,1022,1597.5422949087751,17,37
44,36,40.6,550,20.0,0,0,20,3645.134866375906,3745.4996447991853,142.55142046540817,2,1.7858209025666845,1.1316025203118412,1.1581160823504906,1.1307399710462183,1.4342679671330087,8.0,7.0,6.0,15.0,3.0,66,405,726,808,1223,1341.3531257439238,16.0,36
44,36,40.6,550,20.0,10,0,20,3645.6330639607872,3735.6474482818103,142.5944352138238,2,1.7620718262088304,1.1324475668547331,1.1584929522521317,1.1325534298688091,1.4330482948641328,8.0,7.0,6.0,15.0,3.0,68,416,750,803,1197,1361.5971294101562,16.0,36
44,36,40.6,550,20.0,20,0,20,3666.3163624089702,3716.7143901439454,142.24179080819894,2,1.8277341650068064,1.1360609114073086,1.1593107740104904,1.1354920927522139,1.4318189275332418,8.0,7.0,6.0,15.0,3.0,64,396,698,858,1214,1387.8919983101894,16.0,36
44,36,40.6,550,20.0,40,0,20,3657.7871981067283,3739.9202153979127,142.52733709923697,2,1.835031387567744,1.1478729825724348,1.1684285888048214,1.1469962670784655,1.424267674192568,8.0,7.0,6.0,15.0,3.0,75,411,704,894,1156,1397.6480698045143,15.0,36
44,36,40.6,550,20.0,50,0,20,3637.8299409908063,3731.4738064222593,142.78327821781195,2,1.6741490513344723,1.1526855904624231,1.1682018582563929,1.1527277433599876,1.424760205069085,8.0,7.0,6.0,15.0,3.0,77,405,710,910,1156,1393.0103868381598,15,35
